time,tvalue,cond1_off,cond1_on16h,cond1_on16l,cond1_on23h,cond1_on23l,cond1_on30l,cond1_on30m,cond2_off,cond2_on16h,cond2_on16l,cond2_on16m,cond2_on23h,cond2_on23l,cond2_on23m,cond2_on30h,cond2_on30l,cond2_on30m
2019-06-13 00:27:19.836807,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-06-13 00:47:21.008820,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-06-13 01:07:22.196865,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-13 01:27:23.386750,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-13 01:47:24.617601,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-13 02:07:25.820198,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-13 02:27:26.987657,23,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-13 02:47:28.215838,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-13 03:07:29.446546,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-06-13 03:27:30.676440,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-13 03:47:32.960154,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-06-13 04:07:34.191236,23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2019-06-13 04:27:35.325877,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2019-06-13 04:47:36.480519,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2019-06-13 05:07:37.648325,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2019-06-13 05:27:38.822871,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2019-06-13 05:47:40.051726,23,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2019-06-13 06:07:41.265706,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2019-06-13 06:27:42.495099,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2019-06-13 06:47:43.718396,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2019-06-13 07:07:46.004746,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-06-13 07:27:47.184662,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-06-13 07:47:48.374059,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-06-13 08:07:49.603837,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-06-13 08:27:50.836918,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019-06-13 08:47:52.007413,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-13 09:07:53.239722,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-06-13 09:27:54.428845,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-13 09:47:55.659329,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
